127.0.0.1 - - [09/Apr/2026:17:01:37 +0800] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:02:05 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:02:05 +0800] "GET /ta-recruitment-system/assets/app.css HTTP/1.1" 200 11111
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:02:40 +0800] "GET /ta-recruitment-system/register HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:03:11 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:05:46 +0800] "GET /ta-recruitment-system/ HTTP/1.1" 200 4041
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:05:46 +0800] "GET /ta-recruitment-system/assets/app.css HTTP/1.1" 200 12037
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:05:49 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:05:49 +0800] "GET /ta-recruitment-system/assets/app.css?v=20260409 HTTP/1.1" 200 12037
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:05:56 +0800] "POST /ta-recruitment-system/login HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:05:56 +0800] "GET /ta-recruitment-system/assets/app.css?v=20260409 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:06:00 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 2154
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:11:42 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:11:42 +0800] "GET /ta-recruitment-system/assets/app.css?v=20260409b HTTP/1.1" 200 14127
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:15:15 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:15:15 +0800] "GET /ta-recruitment-system/assets/app.css?v=20260409c HTTP/1.1" 200 14570
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:27:58 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:28:06 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 3518
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:28:06 +0800] "GET /ta-recruitment-system/assets/app.css?v=20260409d HTTP/1.1" 200 14111
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:28:06 +0800] "GET /ta-recruitment-system/assets/auth-bg/R-C.png HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:28:06 +0800] "GET /ta-recruitment-system/assets/auth-bg/6365602546733818246807666.jpg HTTP/1.1" 200 278110
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:28:11 +0800] "GET /ta-recruitment-system/assets/auth-bg/v2-b61d5abf08d0bddf55b4210b321966c6_r.jpg HTTP/1.1" 200 75524
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:31:31 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:31:31 +0800] "GET /ta-recruitment-system/assets/app.css?v=20260409e HTTP/1.1" 200 15069
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:31:31 +0800] "GET /ta-recruitment-system/assets/auth-bg/6365602546733818246807666.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:31:31 +0800] "GET /ta-recruitment-system/assets/auth-bg/R-C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:31:31 +0800] "GET /ta-recruitment-system/assets/auth-bg/v2-b61d5abf08d0bddf55b4210b321966c6_r.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:35:54 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:35:54 +0800] "GET /ta-recruitment-system/assets/app.css?v=20260409e HTTP/1.1" 200 15107
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:35:54 +0800] "GET /ta-recruitment-system/assets/auth-bg/6365602546733818246807666.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:35:54 +0800] "GET /ta-recruitment-system/assets/auth-bg/R-C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:35:54 +0800] "GET /ta-recruitment-system/assets/auth-bg/v2-b61d5abf08d0bddf55b4210b321966c6_r.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:41:26 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:41:26 +0800] "GET /ta-recruitment-system/assets/app.css?v=20260409e HTTP/1.1" 200 15086
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:41:26 +0800] "GET /ta-recruitment-system/assets/auth-bg/v2-b61d5abf08d0bddf55b4210b321966c6_r.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:41:26 +0800] "GET /ta-recruitment-system/assets/auth-bg/6365602546733818246807666.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:41:26 +0800] "GET /ta-recruitment-system/assets/auth-bg/R-C.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2026:17:48:10 +0800] "GET /ta-recruitment-system/login HTTP/1.1" 200 3747
